stephan@hp-255-17625:~/Git/parseSLF4J$ python3 ips.py ips.txt
52.30.230.201 from Dublin, Ireland (22 times)
108.128.8.50 from Dublin, Ireland (20 times)
52.211.46.242 from Dublin, Ireland (20 times)
52.212.78.242 from Dublin, Ireland (28 times)
52.16.173.14 from Dublin, Ireland (26 times)
54.76.194.16 from Dublin, Ireland (33 times)
3.251.26.146 from Dublin, Ireland (11 times)
52.215.46.107 from Dublin, Ireland (14 times)
54.195.98.235 from Dublin, Ireland (23 times)
34.253.49.176 from Dublin, Ireland (12 times)
54.76.168.208 from Dublin, Ireland (52 times)
34.245.246.143 from Dublin, Ireland (6 times)
3.251.8.126 from Dublin, Ireland (20 times)
52.215.177.84 from Dublin, Ireland (4 times)
52.49.21.69 from Dublin, Ireland (16 times)
34.240.186.113 from Dublin, Ireland (8 times)
34.253.176.185 from Dublin, Ireland (10 times)
54.72.77.205 from Dublin, Ireland (32 times)
52.16.187.133 from Dublin, Ireland (30 times)
52.16.187.121 from Dublin, Ireland (17 times)
3.254.20.51 from Dublin, Ireland (12 times)
34.254.237.149 from Dublin, Ireland (17 times)
3.251.15.89 from Dublin, Ireland (34 times)
54.73.26.254 from Dublin, Ireland (14 times)
34.254.129.166 from Dublin, Ireland (1 times)
52.30.163.184 from Dublin, Ireland (30 times)
54.195.195.126 from Dublin, Ireland (14 times)
18.202.62.143 from Dublin, Ireland (22 times)
3.251.9.251 from Dublin, Ireland (23 times)
34.250.55.16 from Dublin, Ireland (16 times)
108.128.47.255 from Dublin, Ireland (1 times)
34.248.22.233 from Dublin, Ireland (21 times)
54.229.213.129 from Dublin, Ireland (18 times)
54.73.36.168 from Dublin, Ireland (19 times)
52.209.25.102 from Dublin, Ireland (1 times)
54.73.41.168 from Dublin, Ireland (5 times)
52.210.173.30 from Dublin, Ireland (38 times)
54.216.177.148 from Dublin, Ireland (2 times)
52.51.134.169 from Dublin, Ireland (4 times)
54.195.73.220 from Dublin, Ireland (22 times)
3.250.252.234 from Dublin, Ireland (20 times)
3.251.4.137 from Dublin, Ireland (1 times)
34.240.164.41 from Dublin, Ireland (12 times)
34.250.67.166 from Dublin, Ireland (16 times)
34.252.53.126 from Dublin, Ireland (17 times)
34.242.23.84 from Dublin, Ireland (37 times)
34.249.67.247 from Dublin, Ireland (7 times)
18.200.92.204 from Dublin, Ireland (11 times)
52.213.246.165 from Dublin, Ireland (19 times)
54.170.252.19 from Dublin, Ireland (9 times)
52.30.132.168 from Dublin, Ireland (22 times)
52.49.94.49 from Dublin, Ireland (2 times)
34.254.120.47 from Dublin, Ireland (15 times)
18.202.155.209 from Dublin, Ireland (22 times)
3.250.252.74 from Dublin, Ireland (9 times)
52.210.84.107 from Dublin, Ireland (16 times)
52.18.193.166 from Dublin, Ireland (18 times)
52.215.106.41 from Dublin, Ireland (22 times)
34.252.231.171 from Dublin, Ireland (23 times)
34.240.140.92 from Dublin, Ireland (6 times)
52.31.64.24 from Dublin, Ireland (1 times)
34.250.59.208 from Dublin, Ireland (2 times)
46.51.188.172 from Dublin, Ireland (1 times)
54.216.156.190 from Dublin, Ireland (14 times)
52.208.181.96 from Dublin, Ireland (2 times)
34.254.85.41 from Dublin, Ireland (4 times)
176.34.202.166 from Dublin, Ireland (21 times)
52.211.197.226 from Dublin, Ireland (1 times)
52.208.125.26 from Dublin, Ireland (9 times)
54.74.58.144 from Dublin, Ireland (9 times)
52.214.74.169 from Dublin, Ireland (10 times)
54.220.32.186 from Dublin, Ireland (16 times)
54.155.217.205 from Dublin, Ireland (12 times)
108.128.33.229 from Dublin, Ireland (17 times)
52.212.106.131 from Dublin, Ireland (30 times)
108.129.35.208 from Dublin, Ireland (11 times)
34.254.71.167 from Dublin, Ireland (7 times)
18.203.227.223 from Dublin, Ireland (11 times)
54.195.83.188 from Dublin, Ireland (10 times)
52.210.123.0 from Dublin, Ireland (23 times)
34.248.56.71 from Dublin, Ireland (17 times)
108.128.255.97 from Dublin, Ireland (8 times)
18.200.91.2 from Dublin, Ireland (2 times)
108.128.246.47 from Dublin, Ireland (9 times)
52.212.44.31 from Dublin, Ireland (8 times)
176.34.168.16 from Dublin, Ireland (13 times)
18.203.16.90 from Dublin, Ireland (22 times)
54.220.255.217 from Dublin, Ireland (4 times)
54.155.117.94 from Dublin, Ireland (3 times)
52.214.28.39 from Dublin, Ireland (15 times)
34.250.243.6 from Dublin, Ireland (1 times)
52.50.137.216 from Dublin, Ireland (7 times)
54.217.17.27 from Dublin, Ireland (1 times)
34.255.56.246 from Dublin, Ireland (13 times)
52.215.31.192 from Dublin, Ireland (10 times)
54.155.85.77 from Dublin, Ireland (4 times)
54.194.144.86 from Dublin, Ireland (7 times)
34.254.1.154 from Dublin, Ireland (5 times)
52.215.97.172 from Dublin, Ireland (5 times)
54.195.177.59 from Dublin, Ireland (21 times)
54.216.56.203 from Dublin, Ireland (1 times)
34.246.100.125 from Dublin, Ireland (2 times)
54.154.152.242 from Dublin, Ireland (9 times)
54.228.141.226 from Dublin, Ireland (1 times)
54.229.68.54 from Dublin, Ireland (1 times)
52.30.94.34 from Dublin, Ireland (2 times)
IP requests from 2025-07-10T19:40:38.357000+00:00 to 2025-07-18T20:00:33.424000+00:00 from Unknown location (Error: invalid query) (1 times)
stephan@hp-255-17625:~/Git/parseSLF4J$ 

